"term","estimate","ci_lower","ci_upper"
"(Intercept)",0.149045373309365,0.127828590714481,0.170262155904249
"kk=5",-0.0140169836879027,-0.0408543267360829,0.0128203593602774
"kk=10",0.0636893139278406,0.0394984598134832,0.087880168042198
"max_depth5",0.324728027960847,0.294722966265241,0.354733089656454
"max_depthNone",0.666665209835316,0.63666014813971,0.696670271530922
"kk=5:max_depth5",0.0276931685483539,-0.0102605659684415,0.0656469030651493
"kk=10:max_depth5",-0.0417801448960345,-0.0759911788699478,-0.00756911092212124
"kk=5:max_depthNone",0.0181826857902933,-0.0197710487265019,0.0561364203070884
"kk=10:max_depthNone",-0.0566300689063939,-0.0908411028803072,-0.0224190349324807
