"treatment","k","k_numeric","max_depth","repeat_id","fold_id","f1","n_train","n_valid","positive_rate_valid"
"k=5_depth=3","k=5","k=5","3",7,2,0.0413793103448276,4000,1000,0.141
"k=5_depth=3","k=5","k=5","3",7,3,0.156862745098039,4000,1000,0.141
"k=5_depth=3","k=5","k=5","3",7,4,0.0810810810810811,4000,1000,0.142
"k=5_depth=3","k=5","k=5","3",7,5,0.130718954248366,4001,999,0.141141141141141
"k=5_depth=3","k=5","k=5","3",8,1,0.22360248447205,4000,1000,0.141
"k=5_depth=3","k=5","k=5","3",8,2,0.0277777777777778,3999,1001,0.141858141858142
"k=5_depth=3","k=5","k=5","3",8,3,0.132450331125828,4001,999,0.141141141141141
"k=5_depth=3","k=5","k=5","3",8,4,0.0413793103448276,3999,1001,0.141858141858142
"k=5_depth=3","k=5","k=5","3",8,5,0.290909090909091,4001,999,0.141141141141141
"k=5_depth=3","k=5","k=5","3",9,1,0.0933333333333333,4000,1000,0.141
"k=5_depth=3","k=5","k=5","3",9,2,0.203821656050955,4001,999,0.141141141141141
"k=5_depth=3","k=5","k=5","3",9,3,0.168831168831169,4000,1000,0.141
"k=5_depth=3","k=5","k=5","3",9,4,0.0413793103448276,3999,1001,0.141858141858142
"k=5_depth=3","k=5","k=5","3",9,5,0.166666666666667,4000,1000,0.142
"k=5_depth=3","k=5","k=5","3",10,1,0.132450331125828,4001,999,0.141141141141141
"k=5_depth=3","k=5","k=5","3",10,2,0.155844155844156,3999,1001,0.141858141858142
"k=5_depth=3","k=5","k=5","3",10,3,0.177215189873418,4000,1000,0.142
"k=5_depth=3","k=5","k=5","3",10,4,0.132450331125828,4000,1000,0.141
"k=5_depth=3","k=5","k=5","3",10,5,0.0939597315436242,4000,1000,0.141
"k=10_depth=3","k=10","k=10","3",1,1,0.268292682926829,4500,500,0.142
"k=10_depth=3","k=10","k=10","3",1,2,0.271604938271605,4500,500,0.14
"k=10_depth=3","k=10","k=10","3",1,3,0.205128205128205,4501,499,0.140280561122244
"k=10_depth=3","k=10","k=10","3",1,4,0.344827586206897,4500,500,0.142
"k=10_depth=3","k=10","k=10","3",1,5,0.179487179487179,4499,501,0.141716566866267
"k=10_depth=3","k=10","k=10","3",1,6,0.0810810810810811,4499,501,0.141716566866267
"k=10_depth=3","k=10","k=10","3",1,7,0.268292682926829,4500,500,0.142
"k=10_depth=3","k=10","k=10","3",1,8,0.20253164556962,4501,499,0.140280561122244
"k=10_depth=3","k=10","k=10","3",1,9,0.20253164556962,4500,500,0.142
"k=10_depth=3","k=10","k=10","3",1,10,0.20253164556962,4500,500,0.142
"k=10_depth=3","k=10","k=10","3",2,1,0.25,4501,499,0.140280561122244
"k=10_depth=3","k=10","k=10","3",2,2,0.2,4500,500,0.142
"k=10_depth=3","k=10","k=10","3",2,3,0.265060240963855,4500,500,0.142
"k=10_depth=3","k=10","k=10","3",2,4,0.153846153846154,4500,500,0.142
"k=10_depth=3","k=10","k=10","3",2,5,0.268292682926829,4500,500,0.142
"k=10_depth=3","k=10","k=10","3",2,6,0.25,4500,500,0.14
"k=10_depth=3","k=10","k=10","3",2,7,0.313253012048193,4501,499,0.140280561122244
"k=10_depth=3","k=10","k=10","3",2,8,0.246913580246914,4500,500,0.142
"k=10_depth=3","k=10","k=10","3",2,9,0.246913580246914,4499,501,0.141716566866267
"k=10_depth=3","k=10","k=10","3",2,10,0.20253164556962,4499,501,0.141716566866267
"k=10_depth=3","k=10","k=10","3",3,1,0.246913580246914,4499,501,0.141716566866267
"k=10_depth=3","k=10","k=10","3",3,2,0.313253012048193,4500,500,0.14
"k=10_depth=3","k=10","k=10","3",3,3,0.222222222222222,4500,500,0.142
"k=10_depth=3","k=10","k=10","3",3,4,0.028169014084507,4501,499,0.140280561122244
"k=10_depth=3","k=10","k=10","3",3,5,0.179487179487179,4500,500,0.142
"k=10_depth=3","k=10","k=10","3",3,6,0.246913580246914,4500,500,0.142
"k=10_depth=3","k=10","k=10","3",3,7,0.227848101265823,4501,499,0.140280561122244
"k=10_depth=3","k=10","k=10","3",3,8,0.155844155844156,4499,501,0.141716566866267
"k=10_depth=3","k=10","k=10","3",3,9,0.268292682926829,4500,500,0.142
"k=10_depth=3","k=10","k=10","3",3,10,0.153846153846154,4500,500,0.142
"k=10_depth=3","k=10","k=10","3",4,1,0.225,4500,500,0.142
"k=10_depth=3","k=10","k=10","3",4,2,0.227848101265823,4501,499,0.140280561122244
"k=10_depth=3","k=10","k=10","3",4,3,0.20253164556962,4499,501,0.141716566866267
"k=10_depth=3","k=10","k=10","3",4,4,0.363636363636364,4500,500,0.142
"k=10_depth=3","k=10","k=10","3",4,5,0.155844155844156,4500,500,0.142
"k=10_depth=3","k=10","k=10","3",4,6,0.285714285714286,4501,499,0.140280561122244
