"comparison","diff","lower","upper","p_adj"
"k=5-k=3",0.0041657021023912,-0.0141660992185525,0.0224975034233349,0.853161507782539
"k=10-k=3",0.00705924502144839,-0.0094648173871219,0.0235833074300187,0.57168702812084
"k=10-k=5",0.00289354291905719,-0.0108553080716506,0.016642393909765,0.872628412615629
