"k","n","mean_f1","sd_f1","ci_lower","ci_upper"
"k=3",30,0.815710583144679,0.0194264447039574,0.80845662947683,0.822964536812529
"k=5",50,0.81987628524707,0.0283920006866301,0.811807367930698,0.827945202563443
"k=10",100,0.822769828166128,0.0388199705382179,0.815067103805926,0.830472552526329
