"k","max_depth","n","mean_f1","sd_f1","ci_lower","ci_upper"
"k=3","3",30,0.149045373309366,0.0765679395546983,0.120454434800718,0.177636311818014
"k=3","5",30,0.47377340127021,0.0431279642849748,0.457669154740316,0.489877647800103
"k=3","None",30,0.815710583144679,0.0194264447039574,0.80845662947683,0.822964536812529
"k=5","3",50,0.135028389621463,0.0766752427652406,0.11323752673321,0.156819252509717
"k=5","5",50,0.487449586130662,0.0425828606881091,0.475347671025089,0.499551501236235
"k=5","None",50,0.81987628524707,0.0283920006866301,0.811807367930698,0.827945202563443
"k=10","3",100,0.212734687237208,0.0736017469522707,0.198130503840301,0.227338870634115
"k=10","5",100,0.495682570302018,0.072571324069176,0.481282845160305,0.510082295443731
"k=10","None",100,0.822769828166128,0.0388199705382179,0.815067103805926,0.830472552526329
